PERSONEL_NO,YIL,PLAKET_TURU,PLAKET_SAYISI
1,4,YOK,0
2,3,YOK,0
3,6,BRONZ,1
4,14,GUMUS,2
5,20,ALTIN,3
6,2,YOK,0
7,5,BRONZ,1
8,11,GUMUS,2
9,4,YOK,0
10,23,ALTIN,3
11,7,BRONZ,1
12,3,YOK,0
13,10,GUMUS,2
14,12,GUMUS,2
15,1,YOK,0
16,21,ALTIN,3
17,2,YOK,0
18,7,BRONZ,1
19,30,ALTIN,3
20,13,GUMUS,2
21,3,YOK,0
22,25,ALTIN,3
23,22,ALTIN,3
24,1,YOK,0
25,4,YOK,0
26,14,GUMUS,2
27,2,YOK,0
28,14,GUMUS,2
29,29,ALTIN,3
30,25,ALTIN,3
31,17,GUMUS,2
32,9,BRONZ,1
33,1,YOK,0
34,10,GUMUS,2
35,6,BRONZ,1
36,3,YOK,0
37,7,BRONZ,1
38,9,BRONZ,1
39,19,GUMUS,2
40,2,YOK,0
41,8,BRONZ,1
42,6,BRONZ,1
43,1,YOK,0
44,3,YOK,0
45,12,GUMUS,2
46,9,BRONZ,1
47,4,YOK,0
48,12,GUMUS,2
49,8,BRONZ,1
50,1,YOK,0
51,24,ALTIN,3
52,5,BRONZ,1
53,4,YOK,0
54,1,YOK,0
55,3,YOK,0
56,1,YOK,0
57,2,YOK,0
58,12,GUMUS,2
59,14,GUMUS,2
60,22,ALTIN,3
61,2,YOK,0
62,2,YOK,0
63,4,YOK,0
64,1,YOK,0
65,3,YOK,0
66,3,YOK,0
67,1,YOK,0
68,5,BRONZ,1
69,7,BRONZ,1
70,23,ALTIN,3
71,28,ALTIN,3
72,31,ALTIN,3
73,4,YOK,0
74,18,GUMUS,2
75,9,BRONZ,1
76,2,YOK,0
77,8,BRONZ,1
78,1,YOK,0
79,7,BRONZ,1
80,2,YOK,0
81,14,GUMUS,2
82,15,GUMUS,2
83,1,YOK,0
84,4,YOK,0
85,17,GUMUS,2
86,23,ALTIN,3
87,4,YOK,0
88,2,YOK,0
89,6,BRONZ,1
90,6,BRONZ,1
91,3,YOK,0
92,5,BRONZ,1
93,34,ALTIN,3
94,11,GUMUS,2
95,12,GUMUS,2
96,7,BRONZ,1
97,8,BRONZ,1
98,19,GUMUS,2
99,17,GUMUS,2
100,25,ALTIN,3
